LGA_NAME16	EmploymentStatus	Sex	workers
Lachlan (A)	Owner managers of incorporated enterprises	F	40
Lachlan (A)	Owner managers of incorporated enterprises	M	110
Lachlan (A)	Owner managers of unincorporated enterprises	F	119
Lachlan (A)	Owner managers of unincorporated enterprises	M	263
Lake Macquarie (C)		F	247
Lake Macquarie (C)		M	272
Lake Macquarie (C)	Contributing family workers	F	416
Lake Macquarie (C)	Contributing family workers	M	354
Lake Macquarie (C)	Employee	F	26481
Lake Macquarie (C)	Employee	M	21597
Lake Macquarie (C)	Owner managers of incorporated enterprises	F	1250
Lake Macquarie (C)	Owner managers of incorporated enterprises	M	2734
Lake Macquarie (C)	Owner managers of unincorporated enterprises	F	1942
Lake Macquarie (C)	Owner managers of unincorporated enterprises	M	2462
Lane Cove (A)		F	47
Lane Cove (A)		M	52
Lane Cove (A)	Contributing family workers	F	90
Lane Cove (A)	Contributing family workers	M	86
Lane Cove (A)	Employee	F	6630
Lane Cove (A)	Employee	M	6668
Lane Cove (A)	Owner managers of incorporated enterprises	F	433
Lane Cove (A)	Owner managers of incorporated enterprises	M	900
Lane Cove (A)	Owner managers of unincorporated enterprises	F	478
Lane Cove (A)	Owner managers of unincorporated enterprises	M	596
Leeton (A)		F	21
Leeton (A)		M	44
Leeton (A)	Contributing family workers	F	75
Leeton (A)	Contributing family workers	M	100
Leeton (A)	Employee	F	1777
Leeton (A)	Employee	M	1946
Leeton (A)	Owner managers of incorporated enterprises	F	63
Leeton (A)	Owner managers of incorporated enterprises	M	171
Leeton (A)	Owner managers of unincorporated enterprises	F	137
Leeton (A)	Owner managers of unincorporated enterprises	M	247
Lismore (C)		F	110
Lismore (C)		M	132
Lismore (C)	Contributing family workers	F	198
Lismore (C)	Contributing family workers	M	202
Lismore (C)	Employee	F	9356
Lismore (C)	Employee	M	7281
Lismore (C)	Owner managers of incorporated enterprises	F	255
Lismore (C)	Owner managers of incorporated enterprises	M	579
Lismore (C)	Owner managers of unincorporated enterprises	F	757
Lismore (C)	Owner managers of unincorporated enterprises	M	1214
Lithgow (C)		F	45
Lithgow (C)		M	42
Lithgow (C)	Contributing family workers	F	92
Lithgow (C)	Contributing family workers	M	89
Lithgow (C)	Employee	F	2968
Lithgow (C)	Employee	M	3328
Lithgow (C)	Owner managers of incorporated enterprises	F	132
Lithgow (C)	Owner managers of incorporated enterprises	M	215
Lithgow (C)	Owner managers of unincorporated enterprises	F	221
Lithgow (C)	Owner managers of unincorporated enterprises	M	309
Liverpool (C)		F	306
Liverpool (C)		M	467
Liverpool (C)	Contributing family workers	F	382
Liverpool (C)	Contributing family workers	M	368
Liverpool (C)	Employee	F	28952
Liverpool (C)	Employee	M	29057
Liverpool (C)	Owner managers of incorporated enterprises	F	1189
Liverpool (C)	Owner managers of incorporated enterprises	M	3502
Liverpool (C)	Owner managers of unincorporated enterprises	F	1383
Liverpool (C)	Owner managers of unincorporated enterprises	M	2266
Liverpool Plains (A)		F	25
Liverpool Plains (A)		M	28
Liverpool Plains (A)	Contributing family workers	F	71
Liverpool Plains (A)	Contributing family workers	M	90
Liverpool Plains (A)	Employee	F	871
Liverpool Plains (A)	Employee	M	1006
Liverpool Plains (A)	Owner managers of incorporated enterprises	F	40
Liverpool Plains (A)	Owner managers of incorporated enterprises	M	111
Liverpool Plains (A)	Owner managers of unincorporated enterprises	F	151
Liverpool Plains (A)	Owner managers of unincorporated enterprises	M	261
Lockhart (A)		F	11
Lockhart (A)		M	8
Lockhart (A)	Contributing family workers	F	41
Lockhart (A)	Contributing family workers	M	65
Lockhart (A)	Employee	F	277
Lockhart (A)	Employee	M	200
Lockhart (A)	Owner managers of incorporated enterprises	F	13
Lockhart (A)	Owner managers of incorporated enterprises	M	47
Lockhart (A)	Owner managers of unincorporated enterprises	F	65
Lockhart (A)	Owner managers of unincorporated enterprises	M	150
Maitland (C)		F	118
Maitland (C)		M	103
Maitland (C)	Contributing family workers	F	216
Maitland (C)	Contributing family workers	M	142
Maitland (C)	Employee	F	12599
Maitland (C)	Employee	M	10424
Maitland (C)	Owner managers of incorporated enterprises	F	486
Maitland (C)	Owner managers of incorporated enterprises	M	1067
Maitland (C)	Owner managers of unincorporated enterprises	F	782
Maitland (C)	Owner managers of unincorporated enterprises	M	818
Mid-Coast (A)		F	235
Mid-Coast (A)		M	272
Mid-Coast (A)	Contributing family workers	F	427
Mid-Coast (A)	Contributing family workers	M	410
Mid-Coast (A)	Employee	F	11606
Mid-Coast (A)	Employee	M	9290
Mid-Coast (A)	Owner managers of incorporated enterprises	F	546
Mid-Coast (A)	Owner managers of incorporated enterprises	M	1065
Mid-Coast (A)	Owner managers of unincorporated enterprises	F	1143
Mid-Coast (A)	Owner managers of unincorporated enterprises	M	1903
Mid-Western Regional (A)		F	74
Mid-Western Regional (A)		M	86
Mid-Western Regional (A)	Contributing family workers	F	172
Mid-Western Regional (A)	Contributing family workers	M	207
Mid-Western Regional (A)	Employee	F	3460
Mid-Western Regional (A)	Employee	M	3980
Mid-Western Regional (A)	Owner managers of incorporated enterprises	F	216
Mid-Western Regional (A)	Owner managers of incorporated enterprises	M	371
Mid-Western Regional (A)	Owner managers of unincorporated enterprises	F	414
Mid-Western Regional (A)	Owner managers of unincorporated enterprises	M	555
Moree Plains (A)		F	34
Moree Plains (A)		M	66
Moree Plains (A)	Contributing family workers	F	113
Moree Plains (A)	Contributing family workers	M	108
Moree Plains (A)	Employee	F	2080
Moree Plains (A)	Employee	M	2099
Moree Plains (A)	Owner managers of incorporated enterprises	F	137
Moree Plains (A)	Owner managers of incorporated enterprises	M	289
Moree Plains (A)	Owner managers of unincorporated enterprises	F	240
Moree Plains (A)	Owner managers of unincorporated enterprises	M	428
Mosman (A)		F	28
Mosman (A)		M	45
Mosman (A)	Contributing family workers	F	100
Mosman (A)	Contributing family workers	M	110
Mosman (A)	Employee	F	3535
Mosman (A)	Employee	M	2568
Mosman (A)	Owner managers of incorporated enterprises	F	469
Mosman (A)	Owner managers of incorporated enterprises	M	851
Mosman (A)	Owner managers of unincorporated enterprises	F	487
Mosman (A)	Owner managers of unincorporated enterprises	M	544
Murray River (A)		F	38
Murray River (A)		M	52
Murray River (A)	Contributing family workers	F	128
Murray River (A)	Contributing family workers	M	187
Murray River (A)	Employee	F	1472
Murray River (A)	Employee	M	1513
Murray River (A)	Owner managers of incorporated enterprises	F	120
Murray River (A)	Owner managers of incorporated enterprises	M	281
Murray River (A)	Owner managers of unincorporated enterprises	F	165
Murray River (A)	Owner managers of unincorporated enterprises	M	370
Murrumbidgee (A)		F	21
Murrumbidgee (A)		M	24
Murrumbidgee (A)	Contributing family workers	F	45
Murrumbidgee (A)	Contributing family workers	M	67
Murrumbidgee (A)	Employee	F	477
Murrumbidgee (A)	Employee	M	560
Murrumbidgee (A)	Owner managers of incorporated enterprises	F	65
Murrumbidgee (A)	Owner managers of incorporated enterprises	M	137
Murrumbidgee (A)	Owner managers of unincorporated enterprises	F	68
Murrumbidgee (A)	Owner managers of unincorporated enterprises	M	151
Muswellbrook (A)		F	38
Muswellbrook (A)		M	59
Muswellbrook (A)	Contributing family workers	F	64
Muswellbrook (A)	Contributing family workers	M	65
Muswellbrook (A)	Employee	F	3103
Muswellbrook (A)	Employee	M	5518
Muswellbrook (A)	Owner managers of incorporated enterprises	F	76
Muswellbrook (A)	Owner managers of incorporated enterprises	M	173
Muswellbrook (A)	Owner managers of unincorporated enterprises	F	173
Muswellbrook (A)	Owner managers of unincorporated enterprises	M	219
Nambucca (A)		F	38
Nambucca (A)		M	62
Nambucca (A)	Contributing family workers	F	89
Nambucca (A)	Contributing family workers	M	119
Nambucca (A)	Employee	F	2181
Nambucca (A)	Employee	M	2048
Nambucca (A)	Owner managers of incorporated enterprises	F	105
Nambucca (A)	Owner managers of incorporated enterprises	M	162
Nambucca (A)	Owner managers of unincorporated enterprises	F	296
Nambucca (A)	Owner managers of unincorporated enterprises	M	442
Narrabri (A)		F	43
Narrabri (A)		M	59
Narrabri (A)	Contributing family workers	F	122
Narrabri (A)	Contributing family workers	M	146
Narrabri (A)	Employee	F	2130
Narrabri (A)	Employee	M	2850
Narrabri (A)	Owner managers of incorporated enterprises	F	130
Narrabri (A)	Owner managers of incorporated enterprises	M	274
Narrabri (A)	Owner managers of unincorporated enterprises	F	213
Narrabri (A)	Owner managers of unincorporated enterprises	M	349
Narrandera (A)		F	13
Narrandera (A)		M	16
Narrandera (A)	Contributing family workers	F	57
Narrandera (A)	Contributing family workers	M	79
Narrandera (A)	Employee	F	777
Narrandera (A)	Employee	M	689
Narrandera (A)	Owner managers of incorporated enterprises	F	50
Narrandera (A)	Owner managers of incorporated enterprises	M	90
Narrandera (A)	Owner managers of unincorporated enterprises	F	102
Narrandera (A)	Owner managers of unincorporated enterprises	M	206
Narromine (A)		F	14
Narromine (A)		M	32
Narromine (A)	Contributing family workers	F	80
Narromine (A)	Contributing family workers	M	111
Narromine (A)	Employee	F	731
Narromine (A)	Employee	M	796
Narromine (A)	Owner managers of incorporated enterprises	F	44
Narromine (A)	Owner managers of incorporated enterprises	M	121
Narromine (A)	Owner managers of unincorporated enterprises	F	107
Narromine (A)	Owner managers of unincorporated enterprises	M	230
Newcastle (C)		F	317
Newcastle (C)		M	376
Newcastle (C)	Contributing family workers	F	355
Newcastle (C)	Contributing family workers	M	302
Newcastle (C)	Employee	F	45738
Newcastle (C)	Employee	M	41504
Newcastle (C)	Owner managers of incorporated enterprises	F	1280
Newcastle (C)	Owner managers of incorporated enterprises	M	3018
Newcastle (C)	Owner managers of unincorporated enterprises	F	1889
Newcastle (C)	Owner managers of unincorporated enterprises	M	2553
North Sydney (A)		F	205
North Sydney (A)		M	255
North Sydney (A)	Contributing family workers	F	249
North Sydney (A)	Contributing family workers	M	273
North Sydney (A)	Employee	F	29559
North Sydney (A)	Employee	M	33642
North Sydney (A)	Owner managers of incorporated enterprises	F	1435
North Sydney (A)	Owner managers of incorporated enterprises	M	3756
North Sydney (A)	Owner managers of unincorporated enterprises	F	1247
North Sydney (A)	Owner managers of unincorporated enterprises	M	1631
Northern Beaches (A)		F	340
Northern Beaches (A)		M	375
Northern Beaches (A)	Contributing family workers	F	819
Northern Beaches (A)	Contributing family workers	M	619
Northern Beaches (A)	Employee	F	35459
Northern Beaches (A)	Employee	M	30638
Northern Beaches (A)	Owner managers of incorporated enterprises	F	3483
Northern Beaches (A)	Owner managers of incorporated enterprises	M	7443
Northern Beaches (A)	Owner managers of unincorporated enterprises	F	4158
Northern Beaches (A)	Owner managers of unincorporated enterprises	M	4900
Oberon (A)		F	19
Oberon (A)		M	17
Oberon (A)	Contributing family workers	F	56
Oberon (A)	Contributing family workers	M	69
Oberon (A)	Employee	F	609
Oberon (A)	Employee	M	1014
Oberon (A)	Owner managers of incorporated enterprises	F	35
Oberon (A)	Owner managers of incorporated enterprises	M	87
Oberon (A)	Owner managers of unincorporated enterprises	F	92
Oberon (A)	Owner managers of unincorporated enterprises	M	162
Orange (C)		F	115
Orange (C)		M	115
Orange (C)	Contributing family workers	F	128
Orange (C)	Contributing family workers	M	98
Orange (C)	Employee	F	8993
Orange (C)	Employee	M	7251
Orange (C)	Owner managers of incorporated enterprises	F	305
Orange (C)	Owner managers of incorporated enterprises	M	692
Orange (C)	Owner managers of unincorporated enterprises	F	533
Orange (C)	Owner managers of unincorporated enterprises	M	741
Parkes (A)		F	35
Parkes (A)		M	52
Parkes (A)	Contributing family workers	F	104
Parkes (A)	Contributing family workers	M	148
Parkes (A)	Employee	F	2228
Parkes (A)	Employee	M	2123
Parkes (A)	Owner managers of incorporated enterprises	F	94
Parkes (A)	Owner managers of incorporated enterprises	M	209
Parkes (A)	Owner managers of unincorporated enterprises	F	220
Parkes (A)	Owner managers of unincorporated enterprises	M	392
Parramatta (C)		F	436
Parramatta (C)		M	603
Parramatta (C)	Contributing family workers	F	486
Parramatta (C)	Contributing family workers	M	491
Parramatta (C)	Employee	F	62570
Parramatta (C)	Employee	M	60710
Parramatta (C)	Owner managers of incorporated enterprises	F	1866
Parramatta (C)	Owner managers of incorporated enterprises	M	5516
Parramatta (C)	Owner managers of unincorporated enterprises	F	1980
Parramatta (C)	Owner managers of unincorporated enterprises	M	3297
Penrith (C)		F	265
Penrith (C)		M	312
Penrith (C)	Contributing family workers	F	382
Penrith (C)	Contributing family workers	M	298
Penrith (C)	Employee	F	30226
Penrith (C)	Employee	M	28489
Penrith (C)	Owner managers of incorporated enterprises	F	1285
Penrith (C)	Owner managers of incorporated enterprises	M	3181
Penrith (C)	Owner managers of unincorporated enterprises	F	1595
Penrith (C)	Owner managers of unincorporated enterprises	M	2571
Port Macquarie-Hastings (A)		F	156
Port Macquarie-Hastings (A)		M	175
Port Macquarie-Hastings (A)	Contributing family workers	F	309
Port Macquarie-Hastings (A)	Contributing family workers	M	282
Port Macquarie-Hastings (A)	Employee	F	12137
Port Macquarie-Hastings (A)	Employee	M	9778
Port Macquarie-Hastings (A)	Owner managers of incorporated enterprises	F	598
Port Macquarie-Hastings (A)	Owner managers of incorporated enterprises	M	1186
Port Macquarie-Hastings (A)	Owner managers of unincorporated enterprises	F	1129
Port Macquarie-Hastings (A)	Owner managers of unincorporated enterprises	M	1757
Port Stephens (A)		F	102
Port Stephens (A)		M	137
Port Stephens (A)	Contributing family workers	F	187
Port Stephens (A)	Contributing family workers	M	179
Port Stephens (A)	Employee	F	9091
Port Stephens (A)	Employee	M	12789
Port Stephens (A)	Owner managers of incorporated enterprises	F	482
Port Stephens (A)	Owner managers of incorporated enterprises	M	1001
Port Stephens (A)	Owner managers of unincorporated enterprises	F	803
Port Stephens (A)	Owner managers of unincorporated enterprises	M	948
Queanbeyan-Palerang Regional (A)		F	61
Queanbeyan-Palerang Regional (A)		M	84
Queanbeyan-Palerang Regional (A)	Contributing family workers	F	185
Queanbeyan-Palerang Regional (A)	Contributing family workers	M	184
Queanbeyan-Palerang Regional (A)	Employee	F	5100
Queanbeyan-Palerang Regional (A)	Employee	M	6472
Queanbeyan-Palerang Regional (A)	Owner managers of incorporated enterprises	F	353
Queanbeyan-Palerang Regional (A)	Owner managers of incorporated enterprises	M	996
Queanbeyan-Palerang Regional (A)	Owner managers of unincorporated enterprises	F	506
Queanbeyan-Palerang Regional (A)	Owner managers of unincorporated enterprises	M	772
Randwick (C)		F	182
Randwick (C)		M	201
Randwick (C)	Contributing family workers	F	234
Randwick (C)	Contributing family workers	M	205
Randwick (C)	Employee	F	20675
Randwick (C)	Employee	M	17966
Randwick (C)	Owner managers of incorporated enterprises	F	987
Randwick (C)	Owner managers of incorporated enterprises	M	2132
Randwick (C)	Owner managers of unincorporated enterprises	F	1486
Randwick (C)	Owner managers of unincorporated enterprises	M	1908
Richmond Valley (A)		F	49
Richmond Valley (A)		M	77
Richmond Valley (A)	Contributing family workers	F	90
Richmond Valley (A)	Contributing family workers	M	136
Richmond Valley (A)	Employee	F	2660
Richmond Valley (A)	Employee	M	2945
Richmond Valley (A)	Owner managers of incorporated enterprises	F	87
Richmond Valley (A)	Owner managers of incorporated enterprises	M	196
Richmond Valley (A)	Owner managers of unincorporated enterprises	F	258
Richmond Valley (A)	Owner managers of unincorporated enterprises	M	438
Rockdale (C)		F	121
Rockdale (C)		M	167
Rockdale (C)	Contributing family workers	F	180
Rockdale (C)	Contributing family workers	M	168
Rockdale (C)	Employee	F	10488
Rockdale (C)	Employee	M	11218
Rockdale (C)	Owner managers of incorporated enterprises	F	530
Rockdale (C)	Owner managers of incorporated enterprises	M	1540
Rockdale (C)	Owner managers of unincorporated enterprises	F	719
Rockdale (C)	Owner managers of unincorporated enterprises	M	1392
Ryde (C)		F	211
Ryde (C)		M	280
Ryde (C)	Contributing family workers	F	286
