SA4_NAME16	HoursWorked.min	IndustryOfEmployment	workers
Darwin		Wholesale trade	13
Darwin	0		129
Darwin	0	Accommodation and food services	89
Darwin	0	Administrative and support services	66
Darwin	0	Agriculture forestry and fishing	23
Darwin	0	Arts and recreation services	45
Darwin	0	Construction	341
Darwin	0	Education and training	222
Darwin	0	Electricity gas water and waste services	66
Darwin	0	Financial and insurance services	62
Darwin	0	Health care and social assistance	310
Darwin	0	Information media and telecommunications	33
Darwin	0	Manufacturing	66
Darwin	0	Mining	71
Darwin	0	Other services	59
Darwin	0	Professional scientific and technical services	210
Darwin	0	Public administration and safety	940
Darwin	0	Rental hiring and real estate services	37
Darwin	0	Retail trade	161
Darwin	0	Transport postal and warehousing	139
Darwin	0	Wholesale trade	33
Darwin	1		202
Darwin	1	Accommodation and food services	833
Darwin	1	Administrative and support services	198
Darwin	1	Agriculture forestry and fishing	48
Darwin	1	Arts and recreation services	213
Darwin	1	Construction	236
Darwin	1	Education and training	453
Darwin	1	Electricity gas water and waste services	17
Darwin	1	Financial and insurance services	29
Darwin	1	Health care and social assistance	391
Darwin	1	Information media and telecommunications	56
Darwin	1	Manufacturing	98
Darwin	1	Mining	21
Darwin	1	Other services	172
Darwin	1	Professional scientific and technical services	229
Darwin	1	Public administration and safety	229
Darwin	1	Rental hiring and real estate services	81
Darwin	1	Retail trade	865
Darwin	1	Transport postal and warehousing	125
Darwin	1	Wholesale trade	42
Darwin	16		133
Darwin	16	Accommodation and food services	727
Darwin	16	Administrative and support services	205
Darwin	16	Agriculture forestry and fishing	40
Darwin	16	Arts and recreation services	130
Darwin	16	Construction	221
Darwin	16	Education and training	481
Darwin	16	Electricity gas water and waste services	19
Darwin	16	Financial and insurance services	33
Darwin	16	Health care and social assistance	624
Darwin	16	Information media and telecommunications	47
Darwin	16	Manufacturing	79
Darwin	16	Mining	18
Darwin	16	Other services	160
Darwin	16	Professional scientific and technical services	216
Darwin	16	Public administration and safety	351
Darwin	16	Rental hiring and real estate services	52
Darwin	16	Retail trade	605
Darwin	16	Transport postal and warehousing	195
Darwin	16	Wholesale trade	54
Darwin	25		184
Darwin	25	Accommodation and food services	614
Darwin	25	Administrative and support services	225
Darwin	25	Agriculture forestry and fishing	52
Darwin	25	Arts and recreation services	145
Darwin	25	Construction	351
Darwin	25	Education and training	528
Darwin	25	Electricity gas water and waste services	53
Darwin	25	Financial and insurance services	91
Darwin	25	Health care and social assistance	898
Darwin	25	Information media and telecommunications	44
Darwin	25	Manufacturing	106
Darwin	25	Mining	19
Darwin	25	Other services	217
Darwin	25	Professional scientific and technical services	307
Darwin	25	Public administration and safety	622
Darwin	25	Rental hiring and real estate services	75
Darwin	25	Retail trade	667
Darwin	25	Transport postal and warehousing	294
Darwin	25	Wholesale trade	77
Darwin	35		483
Darwin	35	Accommodation and food services	812
Darwin	35	Administrative and support services	420
Darwin	35	Agriculture forestry and fishing	72
Darwin	35	Arts and recreation services	326
Darwin	35	Construction	859
Darwin	35	Education and training	1303
Darwin	35	Electricity gas water and waste services	373
Darwin	35	Financial and insurance services	234
Darwin	35	Health care and social assistance	1953
Darwin	35	Information media and telecommunications	201
Darwin	35	Manufacturing	416
Darwin	35	Mining	70
Darwin	35	Other services	518
Darwin	35	Professional scientific and technical services	724
Darwin	35	Public administration and safety	3664
Darwin	35	Rental hiring and real estate services	278
Darwin	35	Retail trade	1214
Darwin	35	Transport postal and warehousing	730
Darwin	35	Wholesale trade	383
Darwin	40		522
Darwin	40	Accommodation and food services	567
Darwin	40	Administrative and support services	325
Darwin	40	Agriculture forestry and fishing	160
Darwin	40	Arts and recreation services	305
Darwin	40	Construction	1348
Darwin	40	Education and training	1018
Darwin	40	Electricity gas water and waste services	291
Darwin	40	Financial and insurance services	252
Darwin	40	Health care and social assistance	1276
Darwin	40	Information media and telecommunications	153
Darwin	40	Manufacturing	484
Darwin	40	Mining	124
Darwin	40	Other services	514
Darwin	40	Professional scientific and technical services	908
Darwin	40	Public administration and safety	3125
Darwin	40	Rental hiring and real estate services	220
Darwin	40	Retail trade	643
Darwin	40	Transport postal and warehousing	664
Darwin	40	Wholesale trade	354
Darwin	41		207
Darwin	41	Accommodation and food services	371
Darwin	41	Administrative and support services	179
Darwin	41	Agriculture forestry and fishing	71
Darwin	41	Arts and recreation services	109
Darwin	41	Construction	795
Darwin	41	Education and training	583
Darwin	41	Electricity gas water and waste services	184
Darwin	41	Financial and insurance services	83
Darwin	41	Health care and social assistance	508
Darwin	41	Information media and telecommunications	92
Darwin	41	Manufacturing	289
Darwin	41	Mining	104
Darwin	41	Other services	259
Darwin	41	Professional scientific and technical services	409
Darwin	41	Public administration and safety	1878
Darwin	41	Rental hiring and real estate services	148
Darwin	41	Retail trade	400
Darwin	41	Transport postal and warehousing	448
Darwin	41	Wholesale trade	199
Darwin	49		692
Darwin	49	Accommodation and food services	634
Darwin	49	Administrative and support services	333
